isin,nav,nav_date
INF205K01RP7,1176.4664,05-Aug-2025
INF178L01BY0,3987.4211,05-Aug-2025
INF178L01BZ7,1076.1614,05-Aug-2025
INF178L01BO1,3817.6386,05-Aug-2025
INF178L01BQ6,1243.6393,05-Aug-2025
INF769K01HD9,13.1527,05-Aug-2025
INF769K01HC1,13.1498,05-Aug-2025
INF769K01HA5,12.9001,05-Aug-2025
INF769K01GZ4,12.9,05-Aug-2025
-,17.0958,05-Aug-2025
-,17.0959,05-Aug-2025
INF204KA1EO9,20.207,05-Aug-2025
INF204K01C56,11.7936,05-Aug-2025
INF204K01C72,12.2123,05-Aug-2025
INF204K01C31,17.0959,05-Aug-2025
INF204K01D63,45.5287,05-Aug-2025
INF204K01C15,63.7699,05-Aug-2025
INF204KA12N8,43.3857,05-Aug-2025
INF204K01EF9,60.7479,05-Aug-2025
INF204KA1EM3,19.462,05-Aug-2025
INF204K01EJ1,11.6621,05-Aug-2025
INF204K01EL7,12.0536,05-Aug-2025
INF204K01EH5,17.0959,05-Aug-2025
INF223J01CY6,10.6088,05-Aug-2025
INF223J01OM6,16.3088,05-Aug-2025
INF223J01OO2,48.6437,05-Aug-2025
INF223J01OP9,15.0362,05-Aug-2025
INF223J01OR5,13.1164,05-Aug-2025
INF223J01DB2,43.6382,05-Aug-2025
INF223J01DC0,12.9158,05-Aug-2025
INF223J01DE6,11.5595,05-Aug-2025
INF200KA1YR4,16.1789,05-Aug-2025
INF200KA1YS2,15.2712,05-Aug-2025
INF200KA1YU8,15.7281,05-Aug-2025
INF200KA1YM5,15.698,05-Aug-2025
INF200KA1YN3,14.815,05-Aug-2025
INF200KA1YP8,15.2524,05-Aug-2025
INF903J01NR4,42.0054,05-Aug-2025
INF903J01OW2,17.7706,27-Jun-2025
INF903J01NS2,17.9673,27-Jun-2025
INF903J01OX0,18.5296,27-Jun-2025
INF903J01NU8,20.1131,05-Aug-2025
INF903J01HY2,19.4816,05-Aug-2025
INF903J01HX4,16.9548,27-Jun-2025
INF903J01HW6,40.6107,05-Aug-2025
INF903J01IA0,17.9561,27-Jun-2025
INF903J01HZ9,17.6302,27-Jun-2025
INF277KA1224,12.7663,05-Aug-2025
INF277KA1240,12.7663,05-Aug-2025
-,12.7663,05-Aug-2025
INF277KA1232,12.7663,05-Aug-2025
-,12.7663,05-Aug-2025
INF277KA1257,12.7663,05-Aug-2025
-,12.7663,05-Aug-2025
INF277KA1299,12.5021,05-Aug-2025
INF277KA1315,12.5021,05-Aug-2025
-,12.5021,05-Aug-2025
INF277KA1307,12.5021,05-Aug-2025
-,12.5021,05-Aug-2025
INF277KA1323,12.5021,05-Aug-2025
-,12.5021,05-Aug-2025
INF0GCD01560,1216.0045,05-Aug-2025
INF0GCD01586,1166.5272,05-Aug-2025
INF0GCD01537,1203.6995,05-Aug-2025
INF0GCD01552,1152.5788,05-Aug-2025
INF582M01DU5,15.827,05-Aug-2025
INF582M01DW1,15.827,05-Aug-2025
INF582M01DY7,15.47,05-Aug-2025
INF582M01EA5,15.47,05-Aug-2025
INF789F1A587,13.5804,05-Aug-2025
INF789F1A603,14.9386,05-Aug-2025
INF789F1A538,16.9491,05-Aug-2025
INF789F1A561,14.4825,05-Aug-2025
INF789F1A546,14.8237,05-Aug-2025
INF789F1A496,13.2493,05-Aug-2025
INF789F1A512,14.6027,05-Aug-2025
INF789F1A447,16.5836,05-Aug-2025
INF789F1A470,14.0119,05-Aug-2025
INF789F1A454,14.4204,05-Aug-2025
INF209KA1K96,13.8013,05-Aug-2025
INF209KA1L12,24.8034,05-Aug-2025
INF209KA1K88,24.8044,05-Aug-2025
INF209KA1K54,12.5737,05-Aug-2025
INF209KA1K47,22.6174,05-Aug-2025
INF846K01PJ5,24.1859,05-Aug-2025
INF846K01PM9,10.1627,05-Aug-2025
INF846K01PK3,10.2925,05-Aug-2025
INF846K01PO5,21.6111,05-Aug-2025
INF846K01PR8,10.1551,05-Aug-2025
INF846K01PP2,10.1659,05-Aug-2025
INF194KA1W05,10.4984,05-Aug-2025
INF194KA1W39,16.5292,05-Aug-2025
INF194KA1V71,10.4337,05-Aug-2025
INF194KA1V14,12.8356,05-Aug-2025
INF194KA1V48,10.5484,05-Aug-2025
INF194KA1X38,10.6012,05-Aug-2025
INF194KA1X61,17.9583,05-Aug-2025
INF194KA1W47,13.2383,05-Aug-2025
INF194KA1W70,10.7435,05-Aug-2025
INF761K01DG8,12.5689,05-Aug-2025
INF761K01DH6,12.2637,05-Aug-2025
INF955L01IZ3,0.0,05-Aug-2025
-,0.0,05-Aug-2025
INF955L01JM9,0.0,05-Aug-2025
INF955L01JP2,0.0,05-Aug-2025
-,0.0,05-Aug-2025
INF955L01JF3,0.0,05-Aug-2025
-,0.0,05-Aug-2025
INF955L01JG1,0.0,05-Aug-2025
-,0.0,05-Aug-2025
INF955L01FZ9,14.3734,05-Aug-2025
INF955L01GA0,12.8279,05-Aug-2025
INF955L01JI7,0.0,05-Aug-2025
INF955L01FR6,24.6639,05-Aug-2025
-,0.0,05-Aug-2025
INF955L01JB2,0.0,05-Aug-2025
INF955L01IY6,0.0,05-Aug-2025
INF955L01FP0,22.3917,05-Aug-2025
INF955L01FU0,11.3207,05-Aug-2025
INF955L01FV8,11.8191,05-Aug-2025
INF955L01IT6,0.0,05-Aug-2025
INF955L01IW0,0.0,05-Aug-2025
INF955L01IO7,0.0,05-Aug-2025
INF955L01IR0,0.0,05-Aug-2025
INF955L01IP4,0.0,05-Aug-2025
-,0.0,05-Aug-2025
INF955L01IU4,0.0,05-Aug-2025
INF740K01OV8,11.2005,05-Aug-2025
INF740K01OS4,54.5555,05-Aug-2025
INF740K01OT2,12.0846,05-Aug-2025
-,11.1221,05-Aug-2025
