isin,nav,nav_date
INF740KA1KF5,11.8196,11-Dec-2025
INF740KA1KH1,10.574,11-Dec-2025
INF740KA1KJ7,11.457,11-Dec-2025
INF740KA1JX0,16.4092,11-Dec-2025
INF740KA1JY8,11.7759,11-Dec-2025
INF740KA1KA6,10.5499,11-Dec-2025
INF740KA1KC2,10.7994,11-Dec-2025
INF090I01FW8,111.1524,11-Dec-2025
INF090I01DG6,102.3847,11-Dec-2025
INF090I01DH4,17.4782,11-Dec-2025
INF090I01FX6,19.6743,11-Dec-2025
INF090I01FU2,14.9336,11-Dec-2025
INF090I01FQ0,17.1906,11-Dec-2025
INF090I01FS6,13.8667,11-Dec-2025
INF090I01DN2,12.6545,11-Dec-2025
INF090I01DJ0,15.3288,11-Dec-2025
INF090I01DL6,12.1778,11-Dec-2025
INF179K01DC2,33.3228,11-Dec-2025
INF179K01XD8,34.089,11-Dec-2025
INF179KA1D33,20.1726,11-Dec-2025
INF179KA1D17,20.8873,11-Dec-2025
INF179K01DD0,10.5893,11-Dec-2025
INF179K01XB2,10.4907,11-Dec-2025
INF917K01VZ8,12.3384,11-Dec-2025
INF917K01HN3,80.2114,11-Dec-2025
INF917K01HP8,11.5448,11-Dec-2025
INF917K01HR4,20.1632,11-Dec-2025
INF917K01WB7,12.0596,11-Dec-2025
INF917K01AH0,75.216,11-Dec-2025
INF917K01AF4,11.1288,11-Dec-2025
INF917K01AI8,16.84,11-Dec-2025
INF917K01AK4,28.571,11-Dec-2025
INF109K016B1,32.198,11-Dec-2025
INF109K017B9,10.217,11-Dec-2025
INF109K019B5,15.3804,11-Dec-2025
INF109K01CQ1,30.7085,11-Dec-2025
INF109K01SK0,10.3708,11-Dec-2025
INF109K01SN4,11.1188,11-Dec-2025
INF205K01RA9,1289.2921,11-Dec-2025
INF205K01RD3,3501.1549,11-Dec-2025
INF205K01RF8,3500.0373,11-Dec-2025
INF205K01RG6,1252.7245,11-Dec-2025
INF205K01RI2,1176.6659,11-Dec-2025
INF205K01QX3,2013.5499,11-Dec-2025
INF205K01RK8,3425.0077,11-Dec-2025
INF205K01RM4,3260.3032,11-Dec-2025
INF205K01RN2,1868.6969,11-Dec-2025
INF205K01RP7,1170.4927,11-Dec-2025
INF178L01BY0,4054.7864,11-Dec-2025
INF178L01BZ7,1073.0321,11-Dec-2025
INF178L01BO1,3877.6057,11-Dec-2025
INF178L01BQ6,1263.1746,11-Dec-2025
INF769K01HD9,13.3491,11-Dec-2025
INF769K01HC1,13.3459,11-Dec-2025
INF769K01HA5,13.0741,11-Dec-2025
INF769K01GZ4,13.0741,11-Dec-2025
-,17.0378,11-Dec-2025
-,17.0389,11-Dec-2025
INF204KA1EO9,20.5109,11-Dec-2025
INF204K01C56,11.763,11-Dec-2025
INF204K01C72,12.282,11-Dec-2025
INF204K01C31,17.0674,11-Dec-2025
INF204K01D63,46.2135,11-Dec-2025
INF204K01C15,64.7289,11-Dec-2025
INF204KA12N8,43.9777,11-Dec-2025
INF204K01EF9,61.5767,11-Dec-2025
INF204KA1EM3,19.7275,11-Dec-2025
INF204K01EJ1,11.6305,11-Dec-2025
INF204K01EL7,12.1162,11-Dec-2025
INF204K01EH5,17.0657,11-Dec-2025
INF223J01CY6,10.7502,11-Dec-2025
INF223J01OM6,16.5641,11-Dec-2025
INF223J01OO2,49.4217,11-Dec-2025
INF223J01OP9,14.9236,11-Dec-2025
INF223J01OR5,13.1871,11-Dec-2025
INF223J01DB2,44.2195,11-Dec-2025
INF223J01DC0,12.8028,11-Dec-2025
INF223J01DE6,11.6125,11-Dec-2025
INF200KA1YR4,16.4348,11-Dec-2025
INF200KA1YS2,15.5128,11-Dec-2025
INF200KA1YU8,15.9769,11-Dec-2025
INF200KA1YM5,15.9234,11-Dec-2025
INF200KA1YN3,15.0277,11-Dec-2025
INF200KA1YP8,15.4714,11-Dec-2025
-,13.0091,28-Jun-2024
INF903J01NR4,42.6525,11-Dec-2025
INF903J01OW2,17.7706,27-Jun-2025
INF903J01NS2,17.9673,27-Jun-2025
INF903J01OX0,18.5296,27-Jun-2025
INF903J01NU8,19.04,11-Dec-2025
INF903J01HY2,18.4253,11-Dec-2025
INF903J01HX4,16.9548,27-Jun-2025
INF903J01HW6,41.2045,11-Dec-2025
INF903J01IA0,17.9561,27-Jun-2025
INF903J01HZ9,17.6302,27-Jun-2025
INF277KA1224,12.9492,11-Dec-2025
INF277KA1240,12.9492,11-Dec-2025
-,12.9492,11-Dec-2025
INF277KA1232,12.9492,11-Dec-2025
-,12.9492,11-Dec-2025
INF277KA1257,12.9492,11-Dec-2025
-,12.9492,11-Dec-2025
INF277KA1299,12.6573,11-Dec-2025
INF277KA1315,12.6573,11-Dec-2025
-,12.6573,11-Dec-2025
INF277KA1307,12.6573,11-Dec-2025
-,12.6573,11-Dec-2025
INF277KA1323,12.6573,11-Dec-2025
-,12.6573,11-Dec-2025
INF0GCD01560,1232.4153,11-Dec-2025
INF0GCD01586,1171.0747,11-Dec-2025
INF0GCD01537,1218.2243,11-Dec-2025
INF0GCD01552,1155.0784,11-Dec-2025
INF582M01DU5,16.0402,11-Dec-2025
INF582M01DW1,16.0402,11-Dec-2025
INF582M01DY7,15.6634,11-Dec-2025
INF582M01EA5,15.6634,11-Dec-2025
INF789F1A587,13.7974,11-Dec-2025
INF789F1A603,15.1774,11-Dec-2025
INF789F1A538,17.2199,11-Dec-2025
INF789F1A561,14.714,11-Dec-2025
INF789F1A546,15.0606,11-Dec-2025
INF789F1A496,13.4462,11-Dec-2025
INF789F1A512,14.8197,11-Dec-2025
INF789F1A447,16.83,11-Dec-2025
INF789F1A470,14.2201,11-Dec-2025
INF789F1A454,14.6347,11-Dec-2025
INF209KA1K96,14.217,11-Dec-2025
INF209KA1L12,25.5502,11-Dec-2025
INF209KA1K88,25.5514,11-Dec-2025
INF209KA1K54,12.9129,11-Dec-2025
INF209KA1K47,23.2275,11-Dec-2025
INF846K01PJ5,24.904,11-Dec-2025
INF846K01PM9,10.2237,11-Dec-2025
INF846K01PK3,10.2929,11-Dec-2025
INF846K01PO5,22.1926,11-Dec-2025
INF846K01PR8,10.1851,11-Dec-2025
INF846K01PP2,10.1578,11-Dec-2025
INF194KA1W05,10.6315,11-Dec-2025
INF194KA1W39,16.7387,11-Dec-2025
INF194KA1V71,10.2503,11-Dec-2025
INF194KA1V14,12.9984,11-Dec-2025
INF194KA1V48,10.6037,11-Dec-2025
INF194KA1X38,10.7729,11-Dec-2025
INF194KA1X61,18.2501,11-Dec-2025
INF194KA1W47,13.4889,11-Dec-2025
INF194KA1W70,10.8149,11-Dec-2025
INF761K01DG8,12.8583,11-Dec-2025
INF761K01DH6,12.5285,11-Dec-2025
INF955L01IZ3,0.0,11-Dec-2025
-,0.0,11-Dec-2025
INF955L01JM9,0.0,11-Dec-2025
INF955L01JP2,0.0,11-Dec-2025
-,0.0,11-Dec-2025
INF955L01JF3,0.0,11-Dec-2025
-,0.0,11-Dec-2025
INF955L01JG1,0.0,11-Dec-2025
-,0.0,11-Dec-2025
INF955L01FZ9,14.3582,11-Dec-2025
INF955L01GA0,12.8754,11-Dec-2025
INF955L01JI7,0.0,11-Dec-2025
INF955L01FR6,25.2619,11-Dec-2025
-,0.0,11-Dec-2025
INF955L01JB2,0.0,11-Dec-2025
INF955L01IY6,0.0,11-Dec-2025
INF955L01FP0,22.8737,11-Dec-2025
INF955L01FU0,11.2808,11-Dec-2025
INF955L01FV8,11.8307,11-Dec-2025
INF955L01IT6,0.0,11-Dec-2025
INF955L01IW0,0.0,11-Dec-2025
INF955L01IO7,0.0,11-Dec-2025
INF955L01IR0,0.0,11-Dec-2025
INF955L01IP4,0.0,11-Dec-2025
-,0.0,11-Dec-2025
INF955L01IU4,0.0,11-Dec-2025
INF740K01OV8,11.1818,11-Dec-2025
INF740K01OS4,55.4729,11-Dec-2025
INF740K01OT2,12.2879,11-Dec-2025
-,11.1087,11-Dec-2025
INF740K01OX4,11.586,11-Dec-2025
INF740KA1NY0,11.115,11-Dec-2025
INF740K01581,12.1687,11-Dec-2025
-,11.107,11-Dec-2025
INF740K01JW6,11.2445,11-Dec-2025
INF740K01JY2,11.4447,11-Dec-2025
INF740K01FR4,11.1131,11-Dec-2025
INF740K01599,50.6409,11-Dec-2025
INF090I01VZ8,0.0,11-Dec-2025
INF090I01VX3,0.0,11-Dec-2025
INF090I01VW5,0.0,11-Dec-2025
INF090I01VY1,0.0,11-Dec-2025
INF179KA1GC0,24.7769,11-Dec-2025
INF179KA1FZ3,26.8406,11-Dec-2025
INF179KA1I87,22.8153,11-Dec-2025
INF179KA1I61,23.5286,11-Dec-2025
INF179KA1GA4,10.8396,11-Dec-2025
INF179KA1GD8,10.4871,11-Dec-2025
INF917K01UL0,14.1882,11-Dec-2025
INF917K01UH8,35.9902,11-Dec-2025
INF917K01E29,12.3897,11-Dec-2025
INF917K01UN6,13.0888,11-Dec-2025
INF917K01130,33.0946,11-Dec-2025
INF917K01114,11.3441,11-Dec-2025
-,32.5716,11-Dec-2025
INF109K01V00,36.5795,11-Dec-2025
INF109K01V34,11.8265,11-Dec-2025
INF109K01GU4,33.0994,11-Dec-2025
INF109K01GV2,11.1465,11-Dec-2025
INF205K01J09,2229.867,11-Dec-2025
INF205K01I83,2213.3427,11-Dec-2025
INF205K01I91,1178.6596,11-Dec-2025
INF205K01I59,1977.6083,11-Dec-2025
